Posicao;Nota;Nome;Gênero;Duracao;Faixa Etária;Ano
1; 9.3 ;Um Sonho de Liberdade;Crime,Drama;142;16;1994
2; 9.2 ;O Poderoso Chefão;Crime,Drama;175;14;1972
3; 9.1 ;O Poderoso Chefão II;Crime,Drama;200;14;1974
4; 9.0 ;Batman: O Cavaleiro das Trevas;Ação,Crime,Drama;152;12;2008
5; 8.9 ;Pulp Fiction: Tempo de Violência;Crime,Drama;154;18;1994
6; 8.9 ;A Lista de Schindler;Biografia,Drama,História;195;14;1993
7; 8.9 ;12 Homens e uma Sentença;Drama;96;0;1957
8; 8.9 ;Três Homens em Conflito;Western;161;14;1966
9; 8.9 ;O Senhor dos Anéis: O Retorno do Rei;Aventura,Fantasia;201;12;2003
10; 8.9 ;Clube da Luta;Drama;139;18;1999
11; 8.8 ;O Senhor dos Anéis: A Sociedade do Anel;Aventura,Fantasia;178;12;2001
12; 8.8 ;Star Guerras: Episódio V - O Império Contra-Ataca;Ação,Aventura,Fantasia;124;0;1980
13; 8.8 ;Forrest Gump: O Contador de Histórias;Drama,Romance;142;14;1994
14; 8.8 ;A Origem;Ação,Mistério,Sci-Fi;148;14;2010
15; 8.7 ;Um Estranho no Ninho;Drama;133;14;1975
16; 8.8 ;O Senhor dos Anéis: As Duas Torres;Aventura,Fantasia;179;12;2002
17; 8.7 ;Os Bons Companheiros;Biografia,Crime,Drama;146;14;1990
18; 8.7 ;Matrix;Ação,Sci-Fi;136;12;1999
19; 8.7 ;Guerra nas Estrelas;Ação,Aventura,Fantasia;121;0;1977
20; 8.7 ;Os Sete Samurais;Drama;207;10;1954
21; 8.7 ;Cidade de Deus;Crime,Drama;130;18;2002
22; 8.7 ;Seven: Os Sete Crimes Capitais;Drama,Mistério,Thriller;127;14;1995
23; 8.7 ;Os Suspeitos;Crime,Drama,Thriller;106;14;1995
24; 8.6 ;O Silêncio dos Inocentes;Thriller;118;14;1991
25; 8.7 ;Interestelar;Aventura,Sci-Fi;169;10;2014
26; 8.7 ;A Felicidade Não Se Compra;Drama,Família,Fantasia;130;0;1946
27; 8.6 ;O Profissional;Crime,Drama,Thriller;110;14;1994
28; 8.6 ;A Vida É Bela;Comédia,Drama,Romance;116;0;1997
29; 8.6 ;Era uma Vez no Oeste;Western;175;14;1968
30; 8.6 ;Casablanca;Drama,Romance,Guerra;102;12;1942
31; 8.6 ;A Outra História Americana;Crime,Drama;119;14;1998
32; 8.6 ;O Resgate do Soldado Ryan;Ação,Drama,Guerra;169;14;1998
33; 8.6 ;Os Caçadores da Arca Perdida;Ação,Aventura;115;0;1981
34; 8.6 ;A Viagem de Chihiro;Animação,Aventura,Família;125;0;2001
35; 8.6 ;Luzes da Cidade;Comédia,Drama,Romance;87;0;1931
36; 8.6 ;Psicose;Horror,Mistério,Thriller;109;14;1960
37; 8.6 ;Janela Indiscreta;Mistério,Thriller;112;12;1954
38; 8.6 ;Intocáveis;Biografia,Comédia,Drama;112;14;2011
39; 8.6 ;Whiplash: Em Busca da Perfeição;Drama,Musical;107;12;2014
40; 8.6 ;Os Tempos Modernos;Comédia,Drama;87;0;1936
41; 8.5 ;À Espera de um Milagre;Crime,Drama,Fantasia;189;14;1999
42; 8.5 ;O Exterminador do Futuro 2: O Julgamento Final;Ação,Sci-Fi;137;12;1991
43; 8.5 ;Amnésia;Mistério,Thriller;113;16;2000
44; 8.5 ;O Pianista;Biografia,Drama,Guerra;150;14;2002
45; 8.5 ;Os Infiltrados;Crime,Drama,Thriller;151;18;2006
46; 8.5 ;Gladiador;Ação,Drama;155;14;2000
47; 8.5 ;Apocalypse Now;Drama,Guerra;153;0;1979
48; 8.5 ;Crepúsculo dos Deuses;Drama,Film-Noir;110;0;1950
49; 8.5 ;Dr. Fantástico;Comédia,Guerra;95;10;1964
50; 8.5 ;De Volta para o Futuro;Aventura,Comédia,Romance;116;0;1985
51; 8.5 ;Alien, o Oitavo Passageiro;Horror,Sci-Fi;117;14;1979
